cid,name,age,gender,location,annual_income,education,occupation
1,Jennifer Willis,38,o,Port Matthew,52562,m,Legal executive
2,Amanda Smith,40,f,North Tim,41088,d,Waste management officer
3,Alicia White,43,f,South Michelle,24891,m,Horticultural therapist
4,Charles Mccullough,35,o,Lawrenceton,24055,d,Recruitment consultant
5,Cynthia Garcia,48,o,West Kellyport,32499,m,Conference centre manager
6,Stephen Paul,38,o,West John,25993,d,Seismic interpreter
7,Andrew Stuart,23,m,Loribury,148020,d,Industrial buyer
8,Alyssa Nelson,59,f,South Lynntown,62712,b,Public librarian
9,Joseph Hunter,64,o,Kellyville,75552,b,"Designer, fashion/clothing"
10,James Pratt,66,m,Bautistaland,46039,m,Operations geologist
11,Amy Freeman,36,f,East Vanessaville,100751,m,Clinical psychologist
12,Stephen Collins,23,m,East Mitchellland,45491,p,"Horticulturist, amenity"
13,Ashley Madden,56,f,Port Heather,43406,p,Planning and development surveyor
14,Michael Moore,19,m,Chavezfurt,108349,d,Race relations officer
15,Miranda Heath,57,f,Kelleyshire,50178,d,Conference centre manager
16,Sandra Jordan,72,f,Lovebury,49698,b,"Therapist, occupational"
17,Elizabeth Ballard,21,f,New Charlesport,78913,d,"Copywriter, advertising"
18,Kristen Cortez,45,f,South Katherine,51289,d,Armed forces technical officer
19,Kenneth Wilson,32,m,North Samueltown,49153,p,Dispensing optician
20,Terri Shannon,22,f,Schwartzstad,43162,d,Financial manager
21,Dwayne Hickman,39,m,Port Cindy,57371,m,Learning mentor
22,Tracy Buckley DDS,31,o,Barneston,33302,b,Air traffic controller
23,Katie Bell,54,o,West Carlaport,72220,b,Publishing rights manager
24,Bonnie Smith,57,f,West Carrieton,82269,b,"Designer, furniture"
25,Jeffrey Miller,52,m,West Robert,80044,m,Press sub
26,Mark Garcia,58,m,Martinside,27842,d,Manufacturing systems engineer
27,David Henson,57,m,Parkerville,95733,b,"Engineer, electrical"
28,Jessica Ellison,47,f,East Christopherview,37484,d,Maintenance engineer
29,Maria Holmes,58,f,Rachelburgh,236039,b,Learning mentor
30,Allison Mitchell,51,f,North Matthewfurt,68148,d,Chief Marketing Officer
31,Chelsey Martin,31,o,Lucasport,59204,p,"Designer, jewellery"
32,Courtney Ayala,54,f,Goldenshire,20355,b,Adult nurse
33,Christina Hopkins,65,f,West Michael,31802,b,"Nurse, mental health"
34,Leslie Wright,37,f,South Harold,56370,d,Pensions consultant
35,Jennifer Miller,43,o,Mauriceland,69320,m,Psychiatrist
36,Kendra Lawson,75,f,New Leah,21433,p,"Scientist, physiological"
37,Ashley Mills,32,f,Lake Melissashire,74044,d,"Designer, multimedia"
38,Angela Carr,67,o,Lake Jesse,75845,p,Media planner
